interest,topic,difficulty,learning_step_order,learning_step,description,domain_id
Web Development,Intro to HTML5,Beginner,1,Intro to HTML5,"Learn the skeleton of the web, doctypes, and the <html>, <head>, <body> structure.",0
Web Development,Semantic HTML,Beginner,2,Semantic HTML,"Using <header>, <footer>, <article>, and <section> for better SEO and accessibility.",0
Web Development,HTML Forms & Validations,Beginner,3,HTML Forms & Validations,"Creating inputs, labels, and using native HTML5 validation like required and pattern.",0
Web Development,HTML Media & Graphics,Beginner,4,HTML Media & Graphics,"Embedding images, videos, audio, and an introduction to <canvas> and <svg>.",0
Web Development,HTML APIs,Beginner,5,HTML APIs,"Introduction to Geolocation, Drag & Drop, and Web Storage APIs (localStorage/sessionStorage).",0
Web Development,CSS Basics & Selectors,Beginner,6,CSS Basics & Selectors,"Mastering colors, fonts, and the various ways to target elements.",0
Web Development,CSS Box Model,Beginner,7,CSS Box Model,"Understanding margin, border, padding, and how elements take up space.",0
Web Development,CSS Positioning,Beginner,8,CSS Positioning,"Mastering static, relative, absolute, fixed, and sticky positioning.",0
Web Development,Flexbox Layout,Beginner,9,Flexbox Layout,Building responsive rows and columns using display: flex and alignment properties.,0
Web Development,CSS Grid Layout,Beginner,10,CSS Grid Layout,Creating complex 2D layouts with grid-template-areas and fractional units.,0
Web Development,Responsive Web Design,Beginner,11,Responsive Web Design,"Using @media queries, viewport settings, and fluid layouts for all devices.",0
Web Development,CSS Variables & Functions,Beginner,12,CSS Variables & Functions,"Advanced techniques like Custom Properties, calc(), min(), max(), and clamp().",0
Web Development,CSS Animations,Beginner,13,CSS Animations,Creating smooth transitions and keyframe animations for better UX.,0
Web Development,JS Intro & Syntax,Beginner,14,JS Intro & Syntax,"The basics of JavaScript: variables (let/const), statements, and basic operators.",0
Web Development,JS Data Types,Beginner,15,JS Data Types,"Working with Strings, Numbers, Booleans, Null, Undefined, and BigInt.",0
Web Development,JS Functions,Foundational,16,JS Functions,"Defining reusable code blocks, arrow functions, and understanding parameters.",0
Web Development,JS Objects,Foundational,17,JS Objects,"Creating and manipulating objects, properties, and methods.",0
Web Development,JS Events,Foundational,18,JS Events,"Handling user interaction with click, submit, mouseover, and keyboard events.",0
